Hostname,Operating System,Model,Serial Number,CPUs,CPU Cores,Total Threads,CPU Model,RAM (GB),Disk Size
d266-apl,Ubuntu 16.04.3 LTS,none for now,none for now,4,4,4,Intel(R) Pentium(R) CPU N4200 @ 1.10GHz,3.7 GB,none for now
aneo-jchheda02,Ubuntu 18.04.1 LTS,none for now,none for now,4,4,4,Intel(R) Core(TM) i5-6400 CPU @ 2.70GHz,7.7 GB,none for now
anbb01,,none for now,none for now,2,1,2,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,3.7 GB,none for now
anphmskl2,Ubuntu 16.04.3 LTS,none for now,none for now,8,4,8,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,31.3 GB,none for now
anompbdwlin01,Red Hat Enterprise Linux Server release 7.4 (Maipo),none for now,none for now,32,8,32,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,31.1 GB,none for now
anompbdwlin02,SUSE Linux Enterprise Server 12 SP3,none for now,none for now,16,8,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,31.3 GB,none for now
anompbdwlin03,Red Hat Enterprise Linux Server release 7.2 (Maipo),none for now,none for now,8,8,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,15.4 GB,none for now
anompbdwlin04,SUSE Linux Enterprise Server 12 SP3,none for now,none for now,8,8,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,15.5 GB,none for now
anompbdwlin05,Ubuntu 16.04 LTS,none for now,none for now,8,8,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,15.5 GB,none for now
anompbdwlin06,Fedora release 28 (Twenty Eight),none for now,none for now,8,8,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,15.5 GB,none for now
anompbdwlin07,CentOS Linux release 7.4.1708 (Core),none for now,none for now,192,24,192,Intel(R) Xeon(R) CPU E7-8890 v4 @ 2.20GHz,251.6 GB,none for now
fxtcarvm053,Red Hat Enterprise Linux Server release 6.5 (Santiago),none for now,none for now,32,16,32,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,31.4 GB,none for now
ansatlin16,Ubuntu 18.04.1 LTS,none for now,none for now,20,10,20,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,62.6 GB,none for now
d331-cfls,Ubuntu 16.04.5 LTS,none for now,none for now,12,6,12,Intel(R) Xeon(R) E-2176G CPU @ 3.70GHz,31.4 GB,none for now
fxilab113,Red Hat Enterprise Linux Server release 7.3 (Maipo),none for now,none for now,4,4,4,Intel(R) Xeon(R) CPU E3-1270 v3 @ 3.50GHz,15.4 GB,none for now
fxilab112,Ubuntu 14.04.5 LTS,none for now,none for now,4,4,4,Intel(R) Xeon(R) CPU E3-1270 v3 @ 3.50GHz,15.5 GB,none for now
fxilab111,Ubuntu 14.04 LTS,none for now,none for now,4,4,4,Intel(R) Xeon(R) CPU E3-1270 v3 @ 3.50GHz,15.5 GB,none for now
fxilab110,Ubuntu 14.04 LTS,none for now,none for now,4,4,4,Intel(R) Xeon(R) CPU E3-1270 v3 @ 3.50GHz,15.5 GB,none for now
fxilab117,Ubuntu 14.04 LTS,none for now,none for now,4,4,4,Intel(R) Xeon(R) CPU E3-1270 v3 @ 3.50GHz,15.5 GB,none for now
fxilab116,Ubuntu 14.04.5 LTS,none for now,none for now,4,4,4,Intel(R) Xeon(R) CPU E3-1270 v3 @ 3.50GHz,15.5 GB,none for now
fxilab115,Ubuntu 14.04 LTS,none for now,none for now,4,4,4,Intel(R) Xeon(R) CPU E3-1270 v3 @ 3.50GHz,15.5 GB,none for now
fxilab114,Ubuntu 14.04 LTS,none for now,none for now,4,4,4,Intel(R) Xeon(R) CPU E3-1270 v3 @ 3.50GHz,15.5 GB,none for now
anompskx1019,CentOS Linux release 7.4.1708 (Core),none for now,none for now,72,18,72,Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,62.4 GB,none for now
anompskx1018,Red Hat Enterprise Linux Server release 7.4 (Maipo),none for now,none for now,72,18,72,Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,62.4 GB,none for now
anompskx1017,SUSE Linux Enterprise Server 12 SP3,none for now,none for now,72,18,72,Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,62.6 GB,none for now
anompskx1016,Ubuntu 16.04.3 LTS,none for now,none for now,36,18,36,Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,62.6 GB,none for now
anompskx1015,SUSE Linux Enterprise Server 12 SP3,none for now,none for now,144,18,144,Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,503.3 GB,none for now
anvbsdp001,SUSE Linux Enterprise Server 11 (x86_64),none for now,none for now,2,,2,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,3.9 GB,none for now
anpowerdev003,Ubuntu 16.04.3 LTS,none for now,none for now,8,4,8,Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,31.2 GB,none for now
